N,112,1-008,DG,3000,,,MOPP-NGF,MOPP-NGF,Dentate gyrus MOPP-neurogliaform cell,MOPP,1,0,3,,,molecular layer perforant path-associated--neurogliaform cell,I,0,"outer stratum moleculare (3786, 611666, 611902, 612052, 612053, 612054, 612055, 612422) / inner stratum moleculare (1412, 3786, 611225, 611231, 611674, 611860, 611862, 611996, 612024, 612277, 612422)",0,0,MOPP-NGF citations,dendrites,"372, 405, 1330, 1433, 80135, 611225, 611231, 611384, 611390, 611666,  611860, 611862, 611902, 611904, 611996, 612052, 612053, 612054, 612055,  612422",,"""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""","""-372, -405, -611225, -612052""",,,,,,,,,,,,,,,,,,,,,,,,,,
N,113,1-027,DG,2333,,,aspiny hilar,aspiny hilar,,Aspiny hilar,1.1,1,3,,,,I,0,"hilus (612482, 612485, 612486, 612487)",0,1,,axons,,"612482, 612485, 612486, 612487","612482, 612485, 612486, 612487","612481, 612482, 612485, 612486, 612487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,113,1-027,DG,2333,,,aspiny hilar,aspiny hilar,,Aspiny hilar,1.1,1,3,,,,I,0,"hilus (612482, 612485, 612486, 612487)",0,1,,dendrites,"612486, 612487","612486, 612487","612486, 612487","612482, 612486, 612487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,114,1-009,DG,2322,,,HICAP,HICAP,Dentate gyrus HICAP cell,HICAP,1.5,0,3,,,hilar commissural-associational pathway related,I,0,"stratum granulosum (611319, 611323, 611664, 611858, 611900) / hilus (402, 441, 3792, 611222, 611664, 611686, 611858, 611862, 611900, 611902, 612208, 612209, 612531, 612532)",1,0,HICAP citations,axons,,"441, 3792, 611222, 611319, 611323, 611664, 611686, 611858, 611862, 611900, 611902, 611904, 612001, 612018, 612026, 612208, 612209, 612280, 612531, 612532, 612535",,,"""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""","""-611222""",,,,,,,,,,,,,,,,,,,,,,,,,,
N,114,1-009,DG,2322,,,HICAP,HICAP,Dentate gyrus HICAP cell,HICAP,1.5,0,3,,,hilar commissural-associational pathway related,I,0,"stratum granulosum (611319, 611323, 611664, 611858, 611900) / hilus (402, 441, 3792, 611222, 611664, 611686, 611858, 611862, 611900, 611902, 612208, 612209, 612531, 612532)",1,1,HICAP citations,dendrites,"402, 1330, 1433, 80135, 611323, 611390, 611664, 611862, 611900, 611902, 611904, 612208","611222, 611323, 611664, 611862, 611900, 611902, 611904, 612208","611222, 611323, 611664, 611862, 611900, 611902, 611904, 612208","1406, 1412, 3792,  611222, 611323, 611664, 611858, 611862, 611900, 611902, 611904, 611992, 611996, 612022, 612024, 612208, 612275, 612277, 612532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,115,1-017,DG,2313,p,CA3 03000-CA1 2000,IS-3 proj,IS-3 proj,,,-0.5,1,3,,,,I,0,,1,1,,axons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,115,1-017,DG,2313,p,CA3 03000-CA1 2000,IS-3 proj,IS-3 proj,,,-0.5,1,3,,,,I,0,,1,0,,dendrites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,116,1-010,DG,2233,,,axo-axonic,AA,Dentate gyrus axo-axonic cell,Axo-axonic,2,0,3,,chandelier,,I,0,"inner stratum moleculare (369)  / stratum granulosum (369, 3783, 611620, 611624, 611626, 611660, 611676, 611826, 611828, 611900, 612183,  612530, 612534)  / hilus (369, 1330, 1433, 3087, 10463, 80135, 611228, 611235, 611390, 612184, 612530)",1,1,AA citations,axons,,,"369, 417, 420, 1318, 1421, 3087, 3783, 10463, 611206, 611207, 611208, 611209, 611210, 611229, 611234, 611235, 611388, 611620, 611622, 611624, 611626, 611660, 611676, 611694, 611826, 611830, 611900, 611904, 611999, 612000, 612017, 612025, 612183, 612279, 612530, 612531, 612534, 612589","420, 611206, 611208, 611209, 611229, 611234, 611235, 611388,  611904, 612183","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""","""-611676, -611694, -612589""",,,,,,,,,,,,,,,,,,,,,,,,,,
N,116,1-010,DG,2233,,,axo-axonic,AA,Dentate gyrus axo-axonic cell,Axo-axonic,2,0,3,,chandelier,,I,0,"inner stratum moleculare (369)  / stratum granulosum (369, 3783, 611620, 611624, 611626, 611660, 611676, 611826, 611828, 611900, 612183,  612530, 612534)  / hilus (369, 1330, 1433, 3087, 10463, 80135, 611228, 611235, 611390, 612184, 612530)",1,1,AA citations,dendrites,"369, 396, 417, 3783, 611235, 611660, 611828, 611900, 611904, 612184","369, 432, 1412, 3783, 611235, 611624, 611660, 611828, 611900, 611904, 611996, 612024, 612184, 612277","611228, 611624, 611660, 611900, 611904","1330, 1433, 3783, 80135, 611228, 611390, 611660, 611900, 611904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,117,1-035,DG,2232,,,BC,basket,Dentate gyrus (-)2232 basket cell,Basket,1,0,3,,,,I,0,"stratum granulosum (363, 366, 3400, 3777, 611319, 611323, 611350, 611354, 611356, 611357, 611358, 611359, 611360,  611373, 611375, 611658, 611662, 611672, 611836, 611900, 612058, 612376, 612378, 612529, 612534, 612573, 612582, 612588, 612598, 612599, 612604) / hilus (3087,  611375, 611662, 611692)",1,1,basket citations,axons,,,"363, 414, 1312, 3087, 3400, 611227, 611232, 611234, 611319, 611323, 611351, 611354, 611355, 611356, 611357, 611359, 611362, 611363, 611364, 611376, 611387, 611658, 611662, 611692, 611838, 611900, 611904, 611998, 612014, 612058, 612376, 612377, 612378, 612379, 612411, 612412, 612413, 612414, 612529, 612531, 612534, 612583, 612598, 612599, 612604",,"""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""","""-611692, -612583""",,,,,,,,,,,,,,,,,,,,,,,,,,
